,carat,cut,color,clarity,depth,table,x,y,z,price,carat_bin
5230,0.5,Ideal,E,VVS2,62.4,54.0,5.11,5.09,3.18,2346,Medium
5231,0.3,Ideal,D,VS1,61.8,56.0,4.34,4.3,2.67,848,Small
5232,0.34,Premium,I,VVS1,60.5,59.0,4.54,4.48,2.73,803,Small
5233,1.06,Premium,E,VS1,59.1,58.0,6.66,6.71,3.95,6669,Extra Large
5234,0.34,Ideal,H,VVS2,60.9,55.0,4.52,4.54,2.75,652,Small
5235,0.27,Very Good,H,VVS2,62.1,57.0,4.1,4.15,2.56,486,Small
5236,0.53,Premium,D,VS2,61.5,58.0,5.24,5.2,3.21,1956,Medium
5237,1.02,Premium,E,VS2,61.9,62.0,6.47,6.38,3.98,6215,Large
5238,0.59,Premium,H,VVS1,62.0,58.0,5.36,5.38,3.33,1883,Medium
5239,1.01,Very Good,H,VS1,63.5,56.0,6.32,6.27,4.0,4412,Large
5240,1.07,Fair,E,SI2,62.2,66.0,6.57,6.48,4.06,4496,Extra Large
5241,0.39,Very Good,I,VS1,63.1,58.0,4.68,4.61,2.93,921,Small
5242,2.11,Ideal,I,VS1,61.9,57.0,8.28,8.22,5.11,16723,Extra Large
5243,1.01,Ideal,F,VS2,60.9,57.0,6.48,6.45,3.94,6787,Large
5244,0.36,Very Good,D,SI1,62.8,57.0,4.51,4.54,2.84,619,Small
5245,0.34,Premium,F,SI2,61.7,61.0,4.48,4.44,2.75,574,Small
5246,0.53,Very Good,E,VS2,63.5,59.0,5.17,5.13,3.27,1678,Medium
5247,0.44,Ideal,D,VS1,62.3,55.0,4.88,4.84,3.03,1294,Medium
5248,1.11,Ideal,I,SI2,61.6,54.0,6.66,6.72,4.12,4428,Extra Large
5249,0.76,Premium,F,SI1,62.7,58.0,5.83,5.78,3.64,2631,Large
5250,1.21,Premium,J,VS2,59.9,59.0,6.92,6.86,4.13,4841,Extra Large
5251,0.59,Ideal,D,SI2,62.3,55.0,5.41,5.38,3.36,1572,Medium
5252,0.31,Very Good,H,VVS2,61.2,55.0,4.41,4.44,2.7,578,Small
5253,0.69,Ideal,F,SI1,61.3,55.0,5.72,5.74,3.51,2459,Medium
5254,0.91,Very Good,G,SI2,63.2,61.0,6.27,6.01,3.88,3282,Large
5255,1.18,Premium,F,VS1,60.7,55.0,6.87,6.8,4.15,9648,Extra Large
5256,0.9,Very Good,D,SI2,58.8,59.0,6.24,6.28,3.68,3643,Large
5257,0.9,Very Good,G,SI1,62.0,58.0,6.14,6.18,3.82,3841,Large
5258,0.38,Very Good,E,VVS2,61.8,56.0,4.66,4.68,2.88,1000,Small
5259,0.34,Ideal,F,VS2,62.1,55.0,4.51,4.47,2.79,880,Small
5260,0.43,Ideal,H,IF,62.2,55.0,4.87,4.84,3.02,1304,Medium
5261,0.42,Very Good,E,VVS2,59.4,60.0,4.88,4.91,2.91,1262,Medium
5262,1.5,Ideal,D,SI2,63.0,56.0,7.3,7.25,4.58,10122,Extra Large
5263,0.75,Premium,G,VVS2,62.5,56.0,5.84,5.78,3.63,3486,Large
5264,0.35,Ideal,G,VS2,61.3,56.0,4.55,4.58,2.8,807,Small
5265,0.43,Ideal,E,SI1,61.5,56.0,4.9,4.85,3.0,1016,Medium
5266,0.71,Premium,G,SI1,62.3,56.0,5.69,5.65,3.53,2283,Large
5267,0.35,Very Good,G,IF,62.6,59.0,4.43,4.49,2.79,898,Small
5268,0.79,Very Good,G,SI1,60.6,57.0,5.98,6.06,3.65,2793,Large
5269,0.55,Very Good,F,VS1,60.7,60.0,5.29,5.32,3.22,1853,Medium
5270,1.01,Good,E,SI1,63.3,57.0,6.33,6.37,4.02,4692,Large
5271,1.71,Ideal,I,VS2,60.5,56.0,7.71,7.73,4.67,11455,Extra Large
5272,1.01,Ideal,G,SI2,61.5,57.0,6.5,6.42,3.97,4299,Large
5273,0.7,Premium,E,VS1,62.7,57.0,5.68,5.64,3.55,2818,Medium
5274,0.5,Premium,F,VVS2,62.7,56.0,5.08,5.03,3.17,1987,Medium
5275,1.24,Premium,J,VS2,61.8,57.6,6.84,6.88,4.24,5265,Extra Large
5276,0.51,Ideal,F,VVS1,60.9,57.0,5.16,5.21,3.16,2208,Medium
5277,0.3,Premium,F,IF,60.7,58.0,4.33,4.37,2.64,947,Small
5278,1.19,Premium,I,SI2,61.6,56.0,6.87,6.83,4.22,4558,Extra Large
5279,0.46,Fair,F,SI1,64.9,58.0,4.81,4.77,3.11,1003,Medium
5280,1.06,Ideal,G,VS2,61.9,55.0,6.54,6.57,4.06,6728,Extra Large
5281,0.31,Ideal,D,VS1,60.5,57.0,4.39,4.41,2.66,752,Small
5282,0.77,Very Good,I,VS2,60.2,59.0,5.89,5.97,3.57,2584,Large
5283,0.32,Ideal,D,VVS2,62.1,54.0,4.4,4.4,2.74,858,Small
5284,0.5,Very Good,D,SI1,62.8,58.0,5.02,5.05,3.16,1415,Medium
5285,1.01,Premium,F,SI2,62.4,58.0,6.41,6.37,3.99,4497,Large
5286,1.5,Premium,D,SI2,59.9,62.0,7.4,7.37,4.42,10517,Extra Large
5287,0.51,Very Good,G,VS2,62.5,59.0,5.05,5.1,3.17,1438,Medium
5288,0.35,Premium,E,VS1,62.2,58.0,4.47,4.5,2.79,718,Small
5289,0.33,Premium,I,VVS2,61.4,58.0,4.45,4.48,2.74,579,Small
5290,1.03,Premium,G,SI1,58.4,58.0,6.66,6.62,3.88,5249,Large
5291,1.03,Premium,D,SI2,62.3,58.0,6.5,6.4,4.03,3675,Large
5292,1.22,Premium,I,SI1,62.2,57.0,6.87,6.79,4.25,5466,Extra Large
5293,0.72,Ideal,I,VS2,61.8,55.0,5.75,5.78,3.56,2650,Large
5294,0.55,Ideal,F,VS1,62.3,53.0,5.28,5.31,3.3,1754,Medium
5295,1.0,Premium,F,SI1,59.7,60.0,6.51,6.48,3.88,4939,Large
5296,0.51,Ideal,E,VS2,61.9,55.0,5.1,5.14,3.17,1675,Medium
5297,1.01,Ideal,H,SI2,62.4,57.0,6.36,6.43,3.99,4693,Large
5298,0.91,Premium,H,VVS1,62.5,59.0,6.16,6.19,3.86,5032,Large
5299,0.3,Ideal,G,VVS2,62.2,55.0,4.33,4.29,2.68,878,Small
5300,0.52,Ideal,E,IF,61.1,57.0,5.17,5.21,3.17,3033,Medium
5301,0.74,Premium,G,SI2,63.0,56.0,5.77,5.75,3.63,2398,Large
5302,0.83,Very Good,F,SI1,63.0,55.0,5.95,5.96,3.75,3207,Large
5303,1.51,Ideal,G,VS1,61.7,54.0,7.36,7.41,4.56,13818,Extra Large
5304,1.67,Ideal,H,VS1,61.8,55.9,7.57,7.6,4.69,13887,Extra Large
5305,1.05,Ideal,H,SI1,61.9,57.0,6.54,6.57,4.06,5342,Large
5306,0.41,Ideal,D,SI1,61.6,55.0,4.78,4.8,2.95,791,Medium
5307,0.71,Fair,G,SI2,64.4,58.0,5.59,5.56,3.59,2300,Large
5308,1.03,Ideal,G,SI2,61.8,55.0,6.5,6.52,4.02,4873,Large
5309,0.51,Ideal,E,VVS2,62.5,57.0,5.06,5.12,3.18,2301,Medium
5310,0.55,Ideal,G,VS2,62.4,56.0,5.25,5.23,3.27,1556,Medium
5311,0.52,Ideal,D,SI1,63.0,57.0,5.14,5.12,3.23,1605,Medium
5312,0.43,Ideal,E,VVS2,61.7,55.0,4.86,4.87,3.0,1426,Medium
5313,2.01,Very Good,I,VS1,62.8,59.0,8.02,8.07,5.05,17877,Extra Large
5314,0.33,Ideal,E,VS2,61.9,56.0,4.4,4.45,2.74,723,Small
5315,1.35,Very Good,G,VS2,62.8,59.0,7.01,7.04,4.41,9302,Extra Large
5316,0.71,Premium,E,SI1,59.1,60.0,5.87,5.84,3.46,2441,Large
5317,0.31,Ideal,D,VS1,62.1,57.0,4.32,4.35,2.69,683,Small
5318,0.4,Very Good,D,VVS2,61.4,58.3,4.73,4.74,2.9,1359,Small
5319,0.31,Premium,H,IF,60.8,59.0,4.39,4.36,2.66,949,Small
5320,0.3,Ideal,I,VS1,61.0,56.0,4.37,4.35,2.66,608,Small
5321,1.2,Premium,F,SI2,62.7,60.0,6.73,6.67,4.21,4274,Extra Large
5322,1.7,Ideal,F,VS2,61.3,54.0,7.72,7.67,4.72,17662,Extra Large
5323,2.42,Premium,J,VS2,61.3,59.0,8.61,8.58,5.27,17168,Extra Large
5324,0.9,Ideal,I,VVS2,61.9,55.0,6.21,6.23,3.85,4011,Large
5325,0.41,Premium,D,VS2,61.8,58.0,4.76,4.79,2.95,846,Medium
5326,0.71,Very Good,G,SI1,58.2,57.0,5.89,5.93,3.44,2039,Large
5327,1.12,Ideal,G,VS2,61.0,57.0,6.69,6.72,4.09,7634,Extra Large
5328,1.02,Very Good,D,SI2,62.7,59.0,6.36,6.44,4.01,4712,Large
5329,0.71,Ideal,E,SI1,61.5,57.0,5.78,5.74,3.54,2329,Large
5330,0.3,Ideal,J,VS1,62.2,57.0,4.27,4.28,2.66,411,Small
5331,1.2,Fair,H,SI2,64.8,60.0,6.55,6.59,4.26,4916,Extra Large
5332,0.38,Ideal,F,VS1,62.4,54.0,4.64,4.68,2.91,933,Small
5333,0.75,Ideal,G,VVS2,62.2,56.0,5.78,5.82,3.61,3879,Large
5334,0.32,Ideal,G,VVS2,61.2,56.0,4.42,4.41,2.7,936,Small
5335,0.51,Ideal,D,SI1,61.8,55.0,5.14,5.18,3.19,1569,Medium
5336,0.55,Ideal,F,VS1,61.8,55.0,5.28,5.3,3.27,2119,Medium
5337,1.21,Ideal,G,VS1,61.3,57.0,6.82,6.87,4.2,10685,Extra Large
5338,0.3,Premium,E,VS1,60.2,57.0,4.37,4.3,2.61,814,Small
5339,1.07,Ideal,H,SI2,62.4,55.0,6.56,6.59,4.1,4840,Extra Large
5340,0.32,Ideal,E,SI1,61.9,56.0,4.43,4.39,2.73,720,Small
5341,0.9,Premium,G,VS2,60.8,56.0,6.19,6.14,3.75,4137,Large
5342,0.79,Ideal,F,SI1,61.3,56.0,5.96,6.01,3.67,3163,Large
5343,1.2,Ideal,E,SI2,61.3,56.0,6.8,6.71,4.14,5268,Extra Large
5344,1.52,Good,E,VS1,63.9,56.0,7.21,7.25,4.62,15649,Extra Large
5345,0.33,Ideal,I,SI1,61.5,57.0,4.46,4.49,2.75,445,Small
5346,0.32,Ideal,F,IF,61.3,57.0,4.42,4.46,2.72,943,Small
5347,0.3,Premium,D,VS2,62.8,59.0,4.28,4.26,2.68,911,Small
5348,1.0,Ideal,I,SI2,58.8,55.0,6.53,6.46,3.82,3629,Large
5349,0.31,Very Good,E,VVS1,60.0,56.0,4.45,4.49,2.68,1039,Small
5350,0.93,Premium,G,VS2,62.2,59.0,6.26,6.21,3.88,4750,Large
5351,0.71,Premium,E,SI1,61.4,58.0,5.77,5.73,3.53,2817,Large
5352,1.54,Ideal,J,VVS2,62.8,58.0,7.32,7.37,4.61,9171,Extra Large
5353,0.9,Very Good,G,SI2,60.9,56.0,6.18,6.24,3.78,3581,Large
5354,0.3,Ideal,D,VVS2,61.7,57.0,4.3,4.32,2.66,1041,Small
5355,0.72,Premium,D,SI1,62.7,59.0,5.73,5.69,3.58,2782,Large
5356,0.9,Good,D,SI2,63.8,58.0,6.13,6.09,3.9,3740,Large
5357,1.13,Premium,I,SI1,61.5,60.0,6.72,6.68,4.12,4854,Extra Large
5358,0.66,Ideal,J,VS2,62.1,55.0,5.6,5.64,3.49,1316,Medium
5359,0.9,Very Good,I,VS2,63.4,56.0,6.09,6.12,3.87,3489,Large
5360,0.31,Good,D,SI1,63.8,57.0,4.29,4.33,2.75,533,Small
5361,0.51,Ideal,E,SI1,62.8,55.0,5.12,5.07,3.2,1546,Medium
5362,0.95,Premium,E,SI2,60.7,59.0,6.3,6.36,3.84,4142,Large
5363,0.43,Good,F,VS1,63.4,57.0,4.76,4.8,3.03,943,Medium
5364,0.36,Very Good,G,SI1,62.0,59.0,4.53,4.56,2.82,537,Small
5365,1.51,Premium,F,VS2,62.2,60.0,7.25,7.34,4.54,13474,Extra Large
5366,0.6,Premium,D,SI1,60.4,60.0,5.44,5.48,3.3,1896,Medium
5367,0.75,Very Good,G,SI1,62.09250913520097,55.0,5.81,5.85,3.63,2617,Large
5368,0.38,Premium,F,VS1,60.9,58.0,4.71,4.68,2.86,998,Small
5369,1.25,Very Good,E,VS1,61.5,59.0,6.91,6.95,4.26,10285,Extra Large
5370,0.5,Premium,G,VS1,60.9,59.0,5.14,5.11,3.12,1583,Medium
5371,0.33,Premium,F,VS2,62.1,59.0,4.44,4.39,2.74,854,Small
5372,0.72,Ideal,G,SI2,61.6,54.0,5.78,5.82,3.57,2170,Large
5373,2.05,Premium,J,VS2,62.3,60.0,8.09,8.15,5.06,13543,Extra Large
5374,0.67,Good,F,VS1,62.3,62.0,5.5,5.59,3.46,2293,Medium
5375,1.08,Premium,F,SI2,62.7,58.0,6.53,6.49,4.08,3992,Extra Large
5376,0.9,Very Good,D,SI1,61.1,63.0,6.21,6.17,3.78,3997,Large
5377,0.9,Ideal,H,VS1,60.9,57.0,6.2,6.24,3.79,4201,Large
5378,1.51,Premium,H,SI2,62.1,58.0,7.34,7.2,4.52,7340,Extra Large
5379,1.72,Ideal,H,SI1,62.2,57.0,7.65,7.55,4.72,7840,Extra Large
5380,1.02,Premium,G,VS2,61.5,59.0,6.44,6.41,3.95,6416,Large
5381,0.51,Ideal,G,VS1,61.7,56.0,5.1,5.2,3.18,1668,Medium
5382,0.3,Ideal,E,VVS2,62.3,56.0,4.3,4.34,2.69,766,Small
5383,1.0,Good,E,SI1,59.3,61.0,6.42,6.53,3.84,4916,Large
5384,0.3,Very Good,H,SI1,63.1,56.0,4.29,4.27,2.7,554,Small
5385,1.61,Ideal,F,SI1,62.6,58.0,7.44,7.48,4.67,12085,Extra Large
5386,0.72,Ideal,I,VS1,62.5,55.0,5.74,5.78,3.6,2586,Large
5387,0.32,Good,I,SI2,63.4,56.0,4.34,4.37,2.76,374,Small
5388,0.4,Premium,E,SI1,60.1,59.0,4.76,4.82,2.88,737,Small
5389,0.33,Ideal,F,VS2,61.3,56.0,4.47,4.43,2.73,854,Small
5390,0.33,Very Good,H,VS1,59.7,59.0,4.52,4.53,2.7,579,Small
5391,0.43,Ideal,G,IF,62.5,54.0,4.83,4.86,3.03,1318,Medium
5392,0.35,Ideal,I,IF,62.7,55.0,4.51,4.55,2.84,778,Small
5393,1.02,Ideal,G,SI1,62.4,55.0,6.43,6.48,4.03,5016,Large
5394,0.6,Premium,H,SI1,60.1,61.0,5.43,5.39,3.25,1219,Medium
5395,0.57,Very Good,E,VS1,59.1,57.0,5.43,5.5,3.23,2008,Medium
5396,1.01,Premium,G,SI2,60.5,58.0,6.55,6.47,3.94,4327,Large
5397,0.51,Very Good,E,SI1,61.2,61.0,5.13,5.16,3.15,1304,Medium
5398,0.5,Ideal,E,VS2,62.2,54.0,5.08,5.11,3.17,1624,Medium
5399,0.84,Very Good,F,SI2,62.8,57.0,5.99,6.04,3.78,2656,Large
5400,2.01,Ideal,G,VS2,61.4,54.0,8.16,8.09,4.99,18607,Extra Large
5401,1.0,Ideal,F,VS2,61.7,58.0,6.37,6.43,3.95,6424,Large
5402,2.74,Fair,J,I1,64.9,61.0,8.76,8.66,5.65,8807,Extra Large
5403,1.02,Ideal,E,VVS1,61.4,57.0,6.39,6.47,3.95,11028,Large
5404,0.29,Premium,I,VS2,62.4,58.0,4.23,4.2,2.63,429,Small
5405,1.01,Very Good,H,SI1,62.6,61.0,6.36,6.39,3.99,4622,Large
5406,0.39,Good,F,VVS2,57.7,61.0,4.91,4.8,2.8,1058,Small
5407,1.35,Ideal,G,I1,62.5,57.0,7.04,7.01,4.39,4643,Extra Large
5408,1.0,Good,J,VS2,64.3,59.0,6.27,6.21,4.01,3580,Large
5409,1.0,Ideal,E,SI1,62.3,55.0,6.41,6.34,3.97,5396,Large
5410,0.53,Ideal,D,SI1,62.0,57.0,5.23,5.19,3.23,1683,Medium
5411,1.0,Ideal,F,VS2,62.0,55.0,6.43,6.48,4.0,5844,Large
5412,0.34,Premium,E,VS2,62.8,58.0,4.45,4.43,2.79,956,Small
5413,0.28,Very Good,E,VVS2,60.2,58.0,4.24,4.27,2.56,604,Small
5414,0.57,Ideal,G,VVS2,60.5,56.0,5.36,5.38,3.25,1976,Medium
5415,0.53,Ideal,G,VVS2,62.6,56.0,5.16,5.19,3.24,1818,Medium
5416,0.42,Ideal,D,SI1,61.9,57.0,4.82,4.77,2.97,1040,Medium
5417,1.5,Premium,G,SI1,62.3,60.0,7.27,7.17,4.5,7535,Extra Large
5418,1.28,Ideal,G,VS1,62.1,57.0,6.91,6.94,4.3,10126,Extra Large
5419,1.19,Premium,I,SI2,60.1,59.0,6.9,6.82,4.12,4498,Extra Large
5420,0.3,Ideal,G,IF,60.9,57.0,4.35,4.39,2.66,863,Small
5421,0.7,Very Good,E,SI1,59.1,63.0,5.89,5.81,3.46,2184,Medium
5422,1.5,Good,E,SI1,64.2,55.0,7.17,7.22,4.62,12754,Extra Large
5423,1.29,Premium,H,VS2,62.4,57.0,6.98,6.92,4.34,6987,Extra Large
5424,2.11,Ideal,J,VS1,61.8,56.2,8.2,8.23,5.07,15766,Extra Large
5425,1.56,Ideal,F,VS1,61.7,56.0,7.48,7.46,4.61,17455,Extra Large
5426,0.4,Very Good,G,SI1,62.6,55.3,4.69,4.71,2.93,795,Small
5427,0.51,Premium,D,SI1,60.1,60.0,5.14,5.18,3.1,1569,Medium
5428,1.51,Good,D,SI2,61.7,65.0,7.38,7.31,4.53,7519,Extra Large
5429,0.27,Ideal,G,IF,61.6,57.0,4.18,4.21,2.58,566,Small
5430,2.2,Premium,I,VS2,58.9,60.0,8.63,8.52,5.05,17905,Extra Large
5431,0.39,Ideal,F,VVS2,61.2,56.0,4.7,4.75,2.89,987,Small
5432,0.34,Ideal,I,VS1,62.0,56.0,4.5,4.53,2.8,555,Small
5433,0.54,Premium,E,SI1,60.2,58.0,5.27,5.3,3.18,1361,Medium
5434,0.55,Ideal,I,VS1,62.5,57.0,5.19,5.25,3.26,1297,Medium
5435,0.42,Premium,F,VVS2,59.6,59.0,4.83,4.86,2.89,1142,Medium
5436,1.15,Premium,H,SI2,62.0,58.0,6.7,6.66,4.14,4830,Extra Large
5437,0.38,Premium,H,VS2,61.8,58.0,4.63,4.66,2.87,700,Small
5438,0.71,Very Good,J,VS2,59.0,61.0,5.81,5.85,3.44,1922,Large
5439,0.93,Ideal,G,SI1,60.1,57.0,6.33,6.41,3.83,5126,Large
5440,0.27,Very Good,D,VS1,63.2,55.0,4.1,4.16,2.61,470,Small
5441,1.02,Very Good,F,SI1,60.2,58.0,6.49,6.54,3.92,6195,Large
5442,0.51,Ideal,I,VS1,62.0,57.0,5.1,5.13,3.17,1376,Medium
5443,0.4,Premium,E,VS2,60.7,60.0,4.75,4.7,2.87,975,Small
5444,1.51,Very Good,H,VVS1,61.5,58.0,7.3,7.39,4.52,12981,Extra Large
5445,0.74,Ideal,D,SI2,61.7,55.0,5.81,5.85,3.6,2810,Large
5446,0.8,Premium,G,VS2,59.6,59.0,6.09,6.0,3.6,3136,Large
5447,0.26,Very Good,F,VVS1,59.0,61.0,4.17,4.2,2.47,547,Small
5448,0.7,Ideal,G,SI2,61.95039152464302,55.0,5.66,5.72,3.55,2232,Medium
5449,0.42,Ideal,E,VS1,60.6,57.0,4.84,4.86,2.94,1177,Medium
5450,0.37,Premium,D,VS2,60.5,59.0,4.66,4.69,2.83,794,Small
5451,0.32,Ideal,I,VS2,62.5,55.0,4.4,4.37,2.74,576,Small
5452,0.4,Ideal,D,VVS2,61.9,56.0,4.74,4.76,2.94,1263,Small
5453,0.31,Premium,G,VS1,62.1,58.0,4.35,4.31,2.69,802,Small
5454,0.91,Premium,G,VS1,60.9,54.0,6.38,6.27,3.85,4510,Large
5455,0.6,Very Good,E,VS1,60.0,58.0,5.5,5.56,3.32,2270,Medium
5456,1.7,Premium,J,SI2,63.0,60.0,7.59,7.53,4.76,7650,Extra Large
5457,0.9,Very Good,I,SI1,62.6,58.0,6.08,6.15,3.83,3220,Large
5458,0.91,Premium,H,SI2,62.9,59.0,6.15,6.12,3.86,3363,Large
5459,1.02,Good,J,SI2,63.4,56.0,6.36,6.42,4.05,3534,Large
5460,0.75,Premium,G,VS2,61.7,58.0,5.85,5.79,3.59,2760,Large
5461,0.55,Ideal,E,VS2,59.3,57.0,5.39,5.43,3.21,1643,Medium
5462,0.31,Very Good,F,VS2,62.7,57.0,4.31,4.36,2.72,500,Small
5463,0.32,Ideal,F,VS2,62.6,55.0,4.38,4.41,2.75,645,Small
5464,1.2,Premium,F,VS2,62.8,59.0,6.78,6.69,4.23,8964,Extra Large
5465,1.7,Premium,I,VS2,62.4,58.0,7.61,7.56,4.73,10910,Extra Large
5466,1.0,Good,E,SI1,57.2,62.0,6.59,6.56,3.76,5345,Large
5467,0.53,Premium,E,VVS2,62.4,56.0,5.19,5.17,3.23,2331,Medium
5468,0.78,Ideal,I,VS2,59.8,58.0,5.98,6.02,3.59,2652,Large
5469,0.71,Very Good,F,VS1,60.1,62.0,5.74,5.77,3.46,2765,Large
5470,1.16,Premium,H,I1,61.7,62.0,6.68,6.64,4.11,2368,Extra Large
5471,1.15,Premium,D,SI1,61.7,58.0,6.76,6.69,4.15,6041,Extra Large
5472,0.32,Premium,E,SI2,61.7,60.0,4.41,4.38,2.71,576,Small
5473,0.31,Very Good,E,VVS2,60.8,55.0,4.38,4.43,2.68,816,Small
5474,0.51,Very Good,F,VS2,60.6,60.0,5.18,5.22,3.15,1601,Medium
5475,1.33,Ideal,G,VVS1,62.2,54.0,7.02,7.06,4.38,12255,Extra Large
5476,0.32,Ideal,D,SI1,60.8,57.0,4.41,4.44,2.69,589,Small
5477,0.57,Ideal,E,VS1,62.1,53.0,5.36,5.41,3.34,1942,Medium
5478,0.5,Premium,G,I1,62.2,59.0,5.07,5.03,3.14,1020,Medium
5479,0.3,Ideal,G,SI2,60.6,56.0,4.35,4.4,2.65,405,Small
5480,0.35,Ideal,H,VS1,62.0,56.0,4.56,4.54,2.82,788,Small
5481,1.65,Premium,I,SI2,62.0,59.0,7.61,7.54,4.7,8590,Extra Large
5482,1.17,Ideal,F,SI1,61.1,56.0,6.77,6.82,4.15,6828,Extra Large
5483,0.52,Very Good,D,SI1,61.715271786022434,58.0,5.14,5.22,3.19,1429,Medium
5484,0.4,Premium,E,SI1,61.4,58.0,4.81,4.77,2.94,882,Small
5485,1.56,Premium,H,VS2,62.2,58.0,7.41,7.44,4.62,10424,Extra Large
5486,1.04,Very Good,H,SI2,60.2,60.0,6.52,6.57,3.94,4332,Large
5487,0.77,Ideal,E,SI2,62.3,57.0,5.88,5.91,3.67,2689,Large
5488,1.12,Ideal,I,VS2,61.2,54.0,6.74,6.77,4.13,5392,Extra Large
5489,0.32,Premium,F,SI1,59.3,58.0,4.5,4.47,2.66,684,Small
5490,0.31,Ideal,E,VS2,61.8,56.0,4.34,4.36,2.69,680,Small
5491,1.5,Very Good,I,IF,62.9,58.0,7.21,7.31,4.57,10147,Extra Large
5492,1.7,Ideal,I,VS1,62.2,55.0,7.67,7.63,4.76,12737,Extra Large
5493,1.01,Ideal,H,SI2,61.7,56.0,6.47,6.43,3.98,4129,Large
5494,2.02,Ideal,H,VS2,61.6,56.0,8.17,8.12,5.02,18050,Extra Large
5495,1.2,Premium,F,VS2,60.4,59.0,6.91,6.89,4.17,8796,Extra Large
5496,1.0,Premium,E,VS1,60.4,59.0,6.51,6.54,3.94,7744,Large
5497,1.11,Ideal,F,VS2,61.8,56.0,6.66,6.7,4.13,9057,Extra Large
5498,2.0,Fair,H,SI2,65.3,55.0,7.88,7.79,5.12,10752,Extra Large
5499,0.95,Fair,J,I1,64.9,56.0,6.17,6.12,3.99,2322,Large
5500,0.92,Premium,H,SI1,59.0,59.0,6.36,6.31,3.74,3709,Large
5501,0.73,Ideal,H,SI1,62.8,57.0,5.77,5.72,3.61,2330,Large
5502,0.56,Ideal,E,VVS2,62.6,54.0,5.28,5.32,3.32,2441,Medium
5503,0.52,Very Good,F,VVS1,61.7,56.0,5.17,5.22,3.2,2205,Medium
5504,1.01,Good,E,SI1,63.9,56.0,6.37,6.31,4.05,5724,Large
5505,0.75,Ideal,D,VS1,62.4,56.0,5.79,5.84,3.63,3961,Large
5506,0.59,Ideal,G,VS2,62.9,56.0,5.35,5.33,3.36,1622,Medium
5507,0.35,Ideal,E,IF,62.2,56.0,4.52,4.51,2.81,1254,Small
5508,0.72,Very Good,G,VS1,60.0,59.0,5.8,5.84,3.49,2671,Large
5509,0.7,Ideal,G,VVS1,61.9,58.0,5.67,5.74,3.53,3354,Medium
5510,1.26,Ideal,G,VVS1,62.1,57.0,7.01,6.91,4.32,10916,Extra Large
5511,0.75,Ideal,E,VS1,62.0,55.0,5.88,5.83,3.66,3402,Large
5512,0.33,Premium,G,VVS1,60.9,58.0,4.47,4.43,2.71,1114,Small
5513,1.05,Ideal,I,VS2,60.2,57.0,6.6,6.65,3.99,5347,Large
5514,0.41,Ideal,J,VS1,62.7,57.0,4.75,4.72,2.97,830,Medium
5515,1.01,Premium,F,VS1,62.6,58.0,6.48,6.37,4.02,6176,Large
5516,1.51,Ideal,G,VVS2,60.5,56.0,7.45,7.42,4.5,15303,Extra Large
5517,1.31,Very Good,G,SI2,62.2,58.0,7.05,6.98,4.36,7107,Extra Large
5518,1.13,Ideal,H,SI1,62.3,56.0,6.66,6.69,4.16,5384,Extra Large
5519,1.7,Very Good,G,VS2,61.9,55.0,7.64,7.68,4.74,18107,Extra Large
5520,1.02,Ideal,D,VVS2,62.0,56.0,6.43,6.48,4.0,10967,Large
5521,1.1,Very Good,F,VS2,62.7,58.5,6.5,6.59,4.1,7272,Extra Large
5522,0.52,Premium,G,VS1,62.4,59.0,5.16,5.13,3.21,1815,Medium
5523,1.5,Premium,I,VS1,60.8,61.0,7.39,7.35,4.48,9761,Extra Large
5524,0.23,Good,G,VVS2,63.8,56.0,3.94,3.9,2.5,428,Small
5525,0.44,Ideal,D,VS1,62.3,55.0,4.88,4.85,3.03,1294,Medium
5526,1.06,Premium,F,VS2,62.2,57.0,6.58,6.53,4.08,6947,Extra Large
5527,0.6,Very Good,H,VS2,60.8,60.0,5.39,5.44,3.29,1557,Medium
5528,1.05,Premium,G,SI2,61.8,60.0,6.49,6.46,4.0,4198,Large
5529,0.4,Premium,E,VS2,62.2,58.0,4.72,4.67,2.92,975,Small
5530,0.31,Premium,J,SI1,61.9,59.0,4.32,4.28,2.66,465,Small
5531,0.42,Premium,G,VS2,60.6,58.0,4.83,4.88,2.94,847,Medium
5532,0.51,Premium,F,VS2,60.7,59.0,5.16,5.19,3.14,1402,Medium
5533,1.42,Very Good,E,SI1,61.1,62.0,7.17,7.2,4.39,9278,Extra Large
5534,1.21,Ideal,H,VS2,62.9,57.0,6.8,6.75,4.26,6302,Extra Large
5535,0.31,Ideal,G,IF,61.6,56.0,4.38,4.42,2.71,891,Small
5536,1.14,Ideal,F,VVS1,60.1,60.0,6.79,6.83,4.09,11226,Extra Large
5537,0.4,Ideal,G,VVS1,61.5,59.0,4.71,4.75,2.91,1051,Small
5538,0.37,Ideal,F,SI1,61.6,56.0,4.61,4.65,2.85,746,Small
5539,0.36,Premium,E,SI2,58.5,59.0,4.67,4.63,2.72,475,Small
5540,0.55,Premium,G,SI1,61.3,59.0,5.23,5.28,3.22,1316,Medium
5541,2.01,Very Good,I,SI2,61.4,63.0,8.19,7.96,4.96,10009,Extra Large
5542,1.01,Ideal,H,SI1,60.4,58.0,6.5,6.54,3.94,5020,Large
5543,0.66,Ideal,D,VVS2,61.6,57.0,5.57,5.64,3.45,3103,Medium
