,carat,cut,color,clarity,depth,table,price
5856,0.31,5,7,8,61.2,56.0,804
5857,0.42,4,7,5,60.2,57.0,970
5858,0.9,2,3,7,62.4,55.0,4409
5859,0.31,4,3,10,61.7,58.0,816
5860,0.81,4,1,5,61.4,60.0,1917
5861,0.9,3,6,7,62.3,56.0,5001
5862,0.31,4,5,6,62.7,59.0,802
5863,0.58,5,7,6,61.2,54.0,1889
5864,0.32,5,5,9,61.4,56.0,912
5865,1.51,5,3,4,62.3,58.0,7990
5866,0.7,4,7,5,61.4,59.0,2218
5867,0.51,5,3,4,62.0,55.0,1435
5868,1.34,5,3,6,60.2,56.0,7429
5869,0.31,5,7,6,61.5,56.0,734
5870,0.24,3,6,9,63.4,57.0,478
5871,0.4,5,4,10,61.8,55.0,1239
5872,0.3,2,7,5,63.1,56.0,515
5873,0.31,3,6,7,61.9,56.0,636
5874,0.42,5,2,9,62.7,55.0,945
5875,1.26,4,7,6,62.5,59.0,9720
5876,0.25,5,4,8,61.9,55.0,525
5877,0.33,4,3,10,61.8,60.0,1114
5878,1.03,3,7,7,59.6,61.0,6848
5879,0.41,5,4,8,61.3,56.0,1007
5880,2.01,4,1,5,63.0,57.0,13219
5881,0.34,3,6,5,62.9,56.0,596
5882,0.7,3,6,4,62.6,55.0,2263
5883,1.02,5,4,8,61.1,57.0,7898
5884,0.31,4,2,7,62.6,59.0,489
5885,0.39,5,6,6,60.4,56.0,985
5886,0.38,3,1,10,60.9,61.0,827
5887,0.4,3,7,5,63.0,59.0,690
5888,1.12,4,4,3,60.3,60.0,3017
5889,0.73,5,2,7,62.1,55.8,2302
5890,0.7,3,5,6,61.0,59.0,2362
5891,1.76,4,7,5,61.0,60.0,12063
5892,1.0,2,3,4,63.9,58.0,3528
5893,0.73,4,7,6,59.8,58.0,3250
5894,0.41,2,6,5,62.05214592274677,55.0,654
5895,1.5,4,3,6,62.4,59.0,11092
5896,0.9,3,4,5,63.0,57.0,3681
5897,1.03,5,6,5,62.0,53.0,5710
5898,0.38,2,6,6,62.06964285714286,57.0,693
5899,1.21,4,3,4,61.1,60.0,5082
5900,0.32,5,4,10,62.1,53.0,918
5901,0.9,3,6,6,63.0,57.0,4643
5902,1.35,4,4,5,62.4,58.0,5799
5903,0.31,4,4,6,61.2,59.0,471
5904,0.76,3,4,8,61.5,59.0,3394
5905,0.3,4,5,6,60.6,60.0,776
5906,0.4,5,7,6,61.3,56.0,982
5907,1.29,5,3,4,61.6,54.0,6300
5908,0.31,4,4,5,61.5,59.0,593
5909,1.03,4,5,9,59.7,60.0,10546
5910,1.08,5,3,4,59.3,57.0,4536
5911,1.0,4,7,8,58.3,61.0,9274
5912,0.31,5,4,10,60.2,59.0,891
5913,0.31,5,5,10,61.2,56.0,921
5914,0.31,4,6,5,62.6,60.0,698
5915,1.51,4,2,4,62.6,59.0,7292
5916,0.31,3,3,5,61.7,59.0,435
5917,0.32,5,4,5,61.3,57.0,612
5918,1.0,3,4,7,60.6,63.0,6699
5919,0.42,5,5,6,62.0,55.0,872
5920,0.52,5,6,5,61.1,57.0,1656
5921,0.31,5,5,10,62.3,54.0,914
5922,0.54,5,7,5,60.8,57.0,1662
5923,0.3,5,3,8,61.88525116822429,55.0,776
5924,0.71,2,6,4,57.5,58.0,1783
5925,1.07,2,1,6,61.7,57.7,4602
5926,1.26,5,1,7,62.2,58.0,6332
5927,0.41,5,3,10,61.8,55.0,1187
5928,0.23,5,5,8,62.3,56.0,530
5929,0.7,1,5,4,58.2,66.0,1920
5930,0.25,3,5,10,63.3,59.0,526
5931,0.34,3,1,7,61.7,58.0,447
5932,1.31,5,4,8,60.9,56.0,11531
5933,0.4,2,7,8,60.8,62.0,1080
5934,0.3,4,6,7,61.3,59.0,710
5935,0.96,2,1,6,63.9,58.0,3312
5936,0.41,3,5,6,62.6,58.0,863
5937,1.25,5,6,9,62.6,56.0,13536
5938,1.54,4,7,6,62.7,59.0,16921
5939,1.7,3,2,6,63.0,58.0,10935
5940,0.92,4,3,6,62.4,60.0,4451
5941,1.0,2,2,8,57.4,59.0,4032
5942,1.03,5,5,5,61.3,57.0,6044
5943,0.41,3,6,5,61.4,56.0,755
5944,1.23,4,1,7,60.1,60.0,5209
5945,0.46,4,6,7,61.7,59.0,1372
5946,0.29,5,5,9,60.9,57.0,858
5947,0.34,4,2,5,59.2,61.0,574
5948,0.58,3,4,6,63.2,58.0,1336
5949,0.32,4,4,6,62.5,60.0,561
5950,0.61,4,5,4,60.9,58.0,1303
5951,0.77,4,2,6,60.3,58.0,2375
5952,1.06,5,2,5,62.8,56.0,4333
5953,0.32,4,4,4,61.6,59.0,540
5954,0.34,5,2,6,61.1,55.0,495
5955,0.35,2,5,5,63.6,54.0,583
5956,1.0,2,3,4,63.2,60.0,3740
5957,1.7,5,1,6,60.5,58.0,10002
5958,0.91,5,4,5,62.5,56.0,4673
5959,0.56,2,6,6,62.3,63.0,1920
5960,0.32,4,3,6,62.4,58.0,648
5961,1.07,3,6,7,62.0,60.0,7768
5962,0.37,3,4,7,58.4,59.0,657
5963,0.33,4,6,5,60.9,58.0,579
5964,0.24,5,5,7,61.8,54.0,572
5965,1.02,5,5,6,62.7,57.0,6734
5966,0.7,3,4,4,60.7,58.0,2141
5967,1.01,4,3,6,62.5,58.0,5611
5968,1.25,5,3,7,62.1,57.0,8365
5969,1.02,4,5,4,61.8824088748019,58.0,4541
5970,1.1,5,4,6,62.5,54.0,7074
5971,0.92,3,1,6,60.9,62.0,3146
5972,0.46,5,5,5,62.5,56.0,1018
5973,0.31,5,2,8,61.6,57.0,544
5974,0.75,2,6,4,62.3,58.0,2702
5975,0.32,4,3,5,61.9,59.0,576
5976,0.91,1,7,5,63.025954198473286,60.0,3855
5977,1.65,5,3,8,62.1,56.0,12225
5978,0.92,5,1,5,62.3,56.0,3170
5979,0.26,3,6,9,62.6,59.0,554
5980,0.32,5,3,10,61.6,56.0,796
5981,0.51,4,4,7,62.5,58.0,1656
5982,1.69,4,2,3,62.4,60.0,6436
5983,0.3,5,5,7,62.0,55.0,658
5984,1.4,4,5,7,58.8,61.0,12401
5985,0.23,3,5,8,63.1,56.0,472
5986,0.36,3,4,9,62.8,57.0,821
5987,1.05,4,5,8,61.3,59.0,8693
5988,2.02,4,2,4,59.4,59.0,14341
5989,1.4,4,4,4,61.97386934673367,60.0,7225
5990,1.07,5,4,4,62.4,57.0,4419
5991,0.27,5,3,6,60.5,57.0,397
5992,1.63,5,6,4,61.7,57.0,10357
5993,1.73,4,4,6,62.9,58.0,16960
5994,1.03,4,6,7,61.5,58.0,7614
5995,1.34,5,2,8,61.4,56.0,8079
5996,0.81,5,5,4,62.9,57.0,2726
5997,1.09,5,6,5,61.1,55.0,5935
5998,0.7,4,4,6,60.8,58.0,2317
5999,0.36,5,2,9,61.6,56.0,607
6000,0.91,4,6,5,60.5,61.0,4138
6001,0.31,3,3,6,63.2,58.0,628
6002,0.7,5,6,7,62.3,54.0,3345
6003,1.41,5,1,7,61.6,56.0,8275
6004,1.06,5,6,7,62.1,57.0,8413
6005,0.82,3,2,7,63.6,58.9,2583
6006,0.38,3,2,5,59.7,62.0,601
6007,0.53,5,3,6,62.1,54.0,1353
6008,2.25,3,1,4,60.6,63.0,8442
6009,0.35,5,4,9,61.0,56.0,887
6010,0.3,5,6,6,61.5,55.0,673
6011,0.24,5,4,9,62.2,56.0,559
6012,0.44,5,3,7,61.3,57.0,1089
6013,0.54,4,6,5,61.4,60.0,1422
6014,1.01,4,7,5,61.6,62.0,5701
6015,1.23,4,3,6,62.4,61.0,6957
6016,1.01,5,1,4,61.6,55.0,3732
6017,0.9,4,7,7,61.2,58.0,6441
6018,0.52,5,6,5,60.1,59.0,1389
6019,2.2,5,1,6,61.6,57.0,15384
6020,1.57,4,2,6,62.5,58.0,9847
6021,2.14,3,7,4,60.3,60.0,18526
6022,0.46,5,7,6,62.4,56.0,1240
6023,0.51,2,5,5,63.8,56.0,1312
6024,0.54,4,7,5,62.0,55.0,1786
6025,0.34,5,5,5,62.8,56.0,727
6026,0.27,5,4,10,61.0,56.0,672
6027,0.53,5,6,6,62.8,57.0,1776
6028,0.4,3,7,7,63.2,60.0,963
6029,0.51,5,7,6,61.8,55.0,1787
6030,0.34,3,6,5,59.6,57.0,596
6031,0.31,5,3,5,62.0,53.9,491
6032,0.59,5,2,5,61.7,55.0,1352
6033,0.71,4,7,4,61.7,59.0,2768
6034,1.01,5,4,4,61.7,56.0,4260
6035,0.91,5,3,5,61.9,56.0,4386
6036,2.01,3,1,6,61.1,59.0,13109
6037,0.4,2,6,5,64.2,56.0,682
6038,0.37,5,5,6,61.1,57.0,746
6039,0.4,3,2,5,63.2,54.0,765
6040,1.01,5,4,5,61.4,57.0,4653
6041,1.02,3,6,7,61.0,58.0,7503
6042,0.5,3,5,9,63.5,60.0,1978
6043,0.61,5,6,7,61.3,54.0,3004
6044,0.51,3,4,4,63.2,57.0,1100
6045,0.79,4,3,6,61.1,59.0,2362
6046,0.41,5,5,4,62.0,53.0,612
6047,1.31,5,3,7,62.5,56.0,8617
6048,0.91,3,5,5,61.4,58.0,3936
6049,0.4,2,7,4,63.8,54.0,622
6050,0.31,3,5,5,63.1,57.0,663
6051,0.38,5,7,8,61.5,57.0,1200
6052,0.53,4,6,4,60.5,60.0,1227
6053,0.5,4,6,4,61.7,58.0,1240
6054,1.06,5,5,6,62.1,55.0,7334
6055,1.1,2,4,5,63.4,57.0,4997
6056,1.07,3,4,6,63.0,55.0,6355
6057,1.02,3,6,5,63.7,55.0,7277
6058,0.23,3,5,8,63.3,57.0,505
6059,1.5,4,3,4,62.1,59.0,7500
6060,0.3,2,6,8,63.2,59.0,684
6061,0.32,5,6,4,61.6,56.0,427
6062,0.7,4,7,7,61.0,59.0,3501
6063,1.01,1,5,5,65.9,60.0,4561
6064,0.7,3,6,7,62.0,59.0,2844
6065,1.5,3,3,4,62.1,59.0,7365
6066,0.3,5,7,5,62.1,54.0,709
6067,0.32,5,4,7,61.3,55.0,707
6068,0.32,5,4,9,61.7,56.0,730
6069,0.57,2,5,4,61.9,57.7,1280
6070,1.21,5,4,7,61.8,55.0,8864
6071,0.54,3,5,7,61.0,58.0,1813
6072,0.3,5,3,8,61.5,57.0,605
6073,0.41,4,5,6,61.3,58.0,1107
6074,0.3,2,5,6,61.9636574074074,55.0,484
6075,0.83,5,5,5,61.8,55.0,4009
6076,0.39,5,6,7,62.3,57.0,1097
6077,0.43,4,6,3,58.4,62.0,713
6078,0.32,2,6,6,64.1,54.0,658
6079,1.01,5,5,8,61.8,56.0,8688
6080,0.3,5,7,8,61.6,57.0,814
6081,0.31,5,7,6,62.2,56.0,734
6082,1.02,5,4,6,62.5,57.0,6352
6083,0.9,5,3,4,62.0,57.0,3516
6084,0.51,4,7,6,60.9,58.0,1716
6085,1.07,5,4,9,61.4,55.0,9703
6086,0.31,5,5,10,60.2,57.0,1155
6087,0.34,4,4,10,60.5,58.0,879
6088,0.53,3,6,4,58.3,62.0,1160
6089,0.24,5,4,10,61.7,56.0,559
6090,1.55,4,1,7,61.79716177861873,58.0,7733
6091,1.02,5,3,4,61.4,58.0,4766
6092,0.55,3,7,5,61.2,58.0,1692
6093,0.52,4,4,4,58.4,62.0,1076
6094,0.61,5,4,5,62.0,54.0,1579
6095,0.39,5,5,7,60.9,56.0,894
6096,0.9,3,4,7,61.3,61.0,4515
6097,0.88,1,2,6,57.4,67.0,2550
6098,1.01,3,7,4,59.8,57.0,4260
6099,0.72,4,1,6,62.6,58.0,1814
6100,0.43,5,6,8,60.8,57.0,1062
6101,1.23,5,7,8,62.4,55.0,13653
6102,0.43,2,2,6,58.0,57.0,696
6103,2.01,3,2,5,60.8,60.0,13849
6104,0.54,5,6,6,62.2,55.0,1754
6105,0.31,5,6,4,61.7,56.0,435
6106,0.45,5,6,8,61.6,56.0,1817
6107,1.1,3,5,6,63.5,55.0,5218
6108,0.3,5,7,5,61.7,57.0,524
6109,0.58,5,2,9,62.3,53.0,1580
6110,0.3,5,5,10,62.3,55.0,886
6111,0.91,1,3,4,61.3,67.0,2825
6112,0.5,5,7,5,62.1,57.0,1610
6113,0.9,3,6,5,63.5,55.0,3508
6114,1.13,3,6,4,63.4,59.0,5147
6115,0.61,2,6,6,60.8,59.0,2124
6116,0.3,5,6,9,62.1,56.0,838
6117,0.35,5,5,9,61.8,55.0,945
6118,0.34,5,4,6,62.1,57.0,596
6119,1.5,3,2,8,59.7,60.0,10551
6120,0.32,3,5,8,63.2,52.0,683
6121,0.91,4,7,6,62.0,58.0,5259
6122,0.41,5,4,7,59.8,57.0,899
6123,0.91,4,5,4,62.1,56.0,3096
6124,0.76,4,1,7,61.1,58.0,2148
6125,0.36,3,7,6,64.0,56.0,759
6126,0.32,5,6,10,61.9,56.0,1170
6127,1.2,4,4,7,62.0,58.0,8911
6128,0.52,3,3,7,63.5,58.0,1572
6129,0.5,5,5,5,61.3,56.0,1317
6130,0.4,5,5,9,61.3,56.0,1263
6131,1.5,1,3,4,64.6,59.0,6250
6132,1.04,4,3,6,60.4,59.0,5777
6133,1.52,5,3,5,61.5,58.0,10589
6134,0.32,4,5,6,61.1,58.0,828
6135,1.23,3,1,6,62.9,59.0,4896
6136,0.35,4,4,5,60.3,60.0,522
6137,1.03,1,1,4,56.2,62.0,3246
6138,1.31,4,6,5,62.4,58.0,8767
6139,0.9,5,6,4,61.9,54.0,3958
6140,0.36,5,7,6,61.8,56.0,1094
6141,0.3,5,4,9,62.2,56.0,753
6142,0.71,3,6,6,59.9,59.0,2921
6143,0.41,5,5,7,62.1,56.0,1007
6144,1.02,5,2,4,62.7,57.0,3913
6145,0.3,4,3,5,62.6,58.0,540
6146,0.7,2,5,7,64.0,57.0,2441
6147,1.07,1,5,5,60.6,66.0,4554
6148,0.5,4,4,5,62.8,61.0,1286
6149,1.03,3,7,5,61.8,57.0,5393
6150,0.71,5,3,9,62.1,54.0,2918
6151,0.53,5,4,7,61.7,55.0,1607
6152,0.91,5,6,4,61.5,56.0,3968
6153,0.64,2,5,3,57.3,64.0,1140
6154,0.26,3,6,8,63.0,58.0,597
6155,0.33,5,3,8,61.7,56.0,666
6156,0.38,5,6,7,61.4,56.0,920
6157,1.5,3,3,7,60.7,58.0,10681
6158,0.42,3,6,8,59.8,56.0,1167
6159,0.9,4,5,5,62.6,62.0,3437
6160,0.53,5,7,5,60.4,57.0,2021
6161,0.9,5,4,4,60.6,55.0,4077
6162,1.32,4,1,4,61.2,59.0,4160
6163,0.55,4,6,5,62.4,57.6,1630
6164,0.52,4,3,7,61.4,57.0,1577
6165,0.3,4,3,6,61.7796942601673,60.0,473
6166,0.91,4,4,6,60.8,56.0,4357
6167,0.3,3,4,6,61.1,62.0,491
6168,0.34,5,6,9,62.2,56.0,1084
6169,1.36,5,4,7,61.0,56.0,10455
6170,0.95,4,7,4,60.1,61.0,4341
6171,0.5,4,5,6,61.7,60.0,1323
6172,0.51,4,3,6,58.5,61.0,1359
6173,0.5,1,6,4,58.0,67.0,851
6174,0.7,4,3,7,62.3,60.0,2333
6175,1.01,3,7,5,63.2,58.0,5654
6176,0.9,4,1,9,62.0,58.0,3617
6177,0.72,3,1,9,60.1,58.0,2208
6178,0.53,5,7,7,61.6,56.0,2340
6179,0.31,3,3,7,63.1,57.0,698
6180,1.01,4,3,4,61.3,59.0,4355
6181,0.39,5,3,5,61.9,55.7,654
6182,0.52,4,3,7,59.2,60.0,1577
6183,0.33,3,5,5,61.2,58.1,544
6184,1.5,3,1,8,61.5,60.0,8712
6185,0.51,3,6,7,62.8,57.1,1970
6186,1.01,4,7,4,61.7,59.0,4072
6187,1.18,5,6,4,60.8,57.0,4885
6188,0.32,5,2,6,63.0,57.0,576
6189,0.52,5,5,5,61.5,57.0,1232
6190,0.33,5,5,9,61.9,55.0,880
6191,1.53,4,3,5,59.5,59.0,10398
6192,0.55,4,5,5,60.2,58.0,1410
6193,1.35,4,4,4,60.5,60.0,5167
6194,2.02,5,1,6,61.8,57.0,14766
6195,0.37,4,4,6,61.2,57.0,833
6196,2.22,5,2,4,62.7,61.0,14416
6197,0.35,4,2,6,62.9,57.0,630
6198,0.56,4,7,5,60.6,59.0,1723
6199,0.5,2,7,5,63.3,56.0,1436
6200,0.52,5,4,7,61.6,54.0,1721
6201,2.06,5,1,4,61.9,55.0,11234
6202,0.44,3,3,9,63.1,56.0,1016
6203,1.02,4,4,4,60.7,56.0,3904
6204,0.32,5,5,6,61.6,55.0,828
6205,0.35,5,6,4,61.7,56.0,491
6206,0.57,4,6,5,59.4,58.0,1613
6207,0.59,3,6,5,61.3,58.0,1748
6208,0.3,4,3,8,62.0,58.0,605
6209,0.7,2,4,6,62.65152198421646,59.0,2353
6210,1.2,3,3,5,62.3,57.0,6569
6211,0.55,5,5,6,61.2,55.0,1580
6212,1.27,4,2,5,60.9,59.0,5690
6213,0.31,5,3,5,61.8,54.0,464
6214,0.53,5,4,10,61.9,56.0,2247
6215,0.4,5,3,5,62.6,52.0,705
6216,1.51,5,5,5,62.5,57.0,10693
6217,0.61,4,5,9,61.8,59.0,2753
6218,0.71,5,3,7,60.8,57.0,3229
6219,1.02,2,3,5,63.9,55.0,4558
6220,1.01,3,3,6,62.8,59.0,5559
6221,2.03,4,1,4,62.7,59.0,12531
6222,0.91,5,5,4,60.9,57.0,3588
6223,0.51,4,5,4,58.9,60.0,1195
6224,1.53,3,3,10,63.1,57.0,13369
6225,0.31,4,4,10,61.6,55.0,988
6226,0.34,4,5,6,61.2,59.0,686
6227,1.0,4,7,7,62.1,55.0,7812
6228,0.78,5,6,5,62.1,58.0,3146
6229,0.43,2,6,5,63.1,56.0,739
6230,1.01,3,4,8,63.0,59.0,6843
6231,1.47,4,5,4,61.6,60.0,8314
6232,0.31,5,2,7,61.9,54.0,628
6233,2.09,5,3,5,60.6,57.0,14383
6234,0.33,5,6,9,61.7,56.0,984
6235,0.31,5,4,9,60.6,57.0,1046
6236,0.52,5,5,7,62.3,55.0,1778
6237,1.17,2,2,5,63.6,61.0,4914
6238,0.4,5,4,7,62.4,57.0,1125
6239,0.3,4,6,5,61.837117067833695,58.0,675
6240,1.21,4,3,4,62.1,56.0,5082
6241,0.3,4,4,7,61.8,59.0,776
6242,1.23,5,1,5,61.3,54.0,5181
6243,0.32,3,1,9,60.2,60.0,544
6244,0.9,5,4,7,62.1,56.0,5540
6245,0.73,5,4,5,60.9,57.0,3089
6246,0.39,4,3,4,61.2,58.0,468
6247,0.32,5,4,7,61.2,56.0,645
6248,0.91,5,6,5,61.0,57.0,4392
6249,0.9,2,5,5,63.9,59.0,4062
6250,1.9,5,2,4,60.9,55.0,12165
6251,0.35,2,5,6,57.9,60.0,596
6252,0.43,4,4,9,62.3,59.0,1264
6253,1.53,3,4,4,62.1,61.0,8455
6254,0.3,4,4,10,60.2,58.0,895
6255,0.72,4,4,6,62.4,57.0,2441
6256,1.02,4,3,5,62.9,59.0,4884
6257,0.25,5,6,8,61.6,57.0,576
6258,1.02,4,1,4,62.3,58.0,3119
6259,1.2,3,6,4,63.3,55.0,5645
6260,1.1,5,6,4,61.6,56.0,5359
6261,0.31,3,7,9,61.1,56.0,826
6262,0.3,5,5,7,61.9,55.1,652
6263,0.35,3,3,6,61.8,56.0,552
6264,0.38,3,4,6,59.9,58.0,766
6265,0.42,5,7,7,62.1,56.0,1179
6266,1.03,2,3,5,63.1,56.0,4326
6267,1.0,1,4,6,67.6,57.0,5484
6268,0.71,2,7,6,63.6,54.0,4289
6269,0.76,4,6,5,61.6,59.0,2644
6270,0.32,4,3,5,62.3,60.0,461
6271,0.78,5,1,5,61.1,56.0,2169
6272,0.75,5,7,5,62.3,57.0,2903
6273,2.04,3,4,4,59.9,58.0,16389
6274,0.72,3,2,9,62.8,56.0,2562
6275,0.34,5,6,9,62.1,57.0,1014
6276,0.3,5,2,5,62.2,57.0,506
6277,0.5,2,6,5,63.8,55.0,1415
6278,0.3,4,3,6,60.9,61.0,608
6279,0.9,5,5,6,62.3,57.0,5160
6280,1.04,4,4,6,62.5,58.0,6290
6281,0.9,4,7,5,62.7,58.0,4381
6282,0.51,3,6,6,63.3,56.0,1781
6283,0.31,5,5,9,61.82162162162162,56.0,897
6284,0.41,4,4,6,61.4,59.0,1061
6285,0.33,4,6,5,62.7,56.0,743
6286,1.19,3,1,5,60.0,57.0,5390
6287,1.0,3,4,6,63.5,59.0,5967
6288,1.71,3,2,6,63.4,59.0,11389
6289,1.0,4,4,6,63.0,58.0,6048
6290,0.25,5,5,6,62.9,55.0,535
6291,0.26,3,3,8,63.4,55.0,565
6292,1.01,4,3,6,62.6,60.0,4745
6293,0.38,4,6,6,61.8,58.0,1112
6294,0.9,4,3,6,61.7,59.0,4266
6295,0.72,5,3,7,62.3,56.0,2819
6296,0.3,4,2,8,61.9,61.0,675
6297,0.31,5,5,10,61.5,55.0,1061
6298,0.56,4,5,8,59.5,61.0,2290
6299,0.78,5,5,5,61.3,56.0,3362
6300,0.72,3,6,4,61.4,58.0,2688
6301,0.76,4,7,6,61.7,59.0,3581
6302,0.35,3,2,6,62.9,57.0,491
6303,0.5,2,5,4,57.7,62.0,984
6304,1.01,3,7,4,59.1,63.0,3671
6305,1.06,3,4,7,60.5,56.0,6707
6306,0.9,2,4,6,63.6,59.0,4022
6307,0.74,5,4,5,61.3,55.0,2852
6308,1.03,3,4,7,60.7,58.0,6628
6309,0.58,2,6,5,61.0,62.0,1844
6310,1.39,4,5,5,62.1,58.0,8631
6311,0.59,5,6,8,62.0,55.0,2761
6312,0.7,3,3,5,61.5,57.0,2107
6313,0.9,2,4,4,63.7,62.0,3014
6314,0.81,5,5,4,62.1,57.0,2843
6315,0.38,5,7,7,62.2,57.0,1067
6316,0.7,5,3,5,61.4,57.0,2240
6317,1.55,5,2,5,62.3,54.8,9117
6318,0.91,3,6,4,58.6,63.0,2963
6319,0.4,2,6,4,61.2,61.0,588
6320,0.6,3,6,7,63.2,56.0,2177
6321,0.3,5,6,8,62.2,54.4,779
6322,1.1,5,4,6,60.9,56.0,6939
6323,2.01,4,1,4,61.99316239316239,59.0,12403
6324,1.22,4,4,5,61.2,60.0,6449
6325,1.12,3,7,5,62.2,59.0,5966
6326,0.62,4,6,9,61.9,59.0,3073
6327,1.02,3,3,5,63.2,57.0,4688
6328,0.5,3,1,5,63.2,55.0,1000
6329,1.71,5,7,5,60.3,60.0,16575
6330,0.55,4,4,6,62.3,56.0,1668
6331,1.01,4,5,7,62.4,61.0,7127
6332,0.33,3,7,6,62.9,54.0,660
6333,1.33,3,5,5,63.3,56.0,8163
6334,0.38,5,7,7,62.4,56.0,1170
6335,0.31,5,5,5,62.3,56.0,707
6336,0.31,5,6,6,60.8,54.0,872
6337,0.43,4,5,4,58.3,62.0,813
6338,0.76,3,6,6,63.0,59.0,3162
6339,0.35,5,6,6,62.0,55.0,767
6340,0.33,3,3,5,63.0,57.0,475
6341,1.21,2,1,4,61.1,60.8,4824
6342,0.31,3,3,7,63.1,58.0,698
6343,0.92,1,3,7,56.0,60.0,3924
6344,0.4,5,3,8,60.8,55.0,877
6345,0.64,3,7,6,62.2,58.0,2297
6346,0.32,4,7,6,62.0,57.0,972
6347,1.0,4,7,7,61.0,58.0,7280
6348,1.1,3,3,4,62.9,58.0,4422
6349,0.91,3,6,5,62.1,60.0,4284
6350,1.29,3,1,5,61.2,58.0,5209
6351,1.01,4,2,4,62.1,59.0,3971
6352,0.53,3,6,5,61.6,58.0,1395
6353,2.5,1,4,3,65.1,59.0,8711
6354,1.32,4,5,6,62.2,58.0,10814
6355,0.6,5,3,5,61.4,55.0,1766
6356,0.4,5,2,6,61.8,56.0,639
6357,1.24,5,4,10,62.4,56.0,11376
6358,1.66,4,7,5,62.0,59.0,14224
6359,1.01,3,2,5,63.4,62.0,4072
6360,1.03,5,2,6,61.2,56.0,5378
6361,0.51,5,4,8,61.8,56.0,1974
6362,0.3,3,6,6,62.4,56.0,658
6363,1.2,4,5,5,62.4,58.0,6250
6364,0.9,2,5,4,64.2,62.0,2964
6365,1.55,1,5,5,59.7,66.0,10217
6366,0.78,5,4,5,61.0,57.0,2496
6367,0.9,4,2,4,62.17743445692884,59.0,2826
6368,0.9,1,2,6,65.4,60.0,3246
6369,1.18,5,2,9,59.7,54.0,6494
6370,0.32,4,2,10,60.3,58.0,864
6371,0.53,4,6,6,60.9,60.0,1813
6372,1.5,2,6,3,62.4,64.0,4989
6373,0.23,5,4,5,62.0,54.0,364
6374,0.72,4,5,4,60.5,59.0,2298
6375,0.32,5,5,6,61.63640904311252,55.0,828
6376,1.52,4,3,8,62.8,57.0,12232
6377,1.27,5,5,10,61.3,55.0,15377
6378,1.16,5,3,6,62.1,57.0,6954
6379,1.16,5,2,5,62.4,57.0,5107
6380,1.1,5,3,5,62.5,57.0,4764
6381,1.01,4,5,6,62.2,60.0,6416
6382,1.51,2,2,9,64.0,60.0,9301
6383,0.49,5,6,8,61.9,56.0,2199
6384,0.41,5,7,5,61.7,56.0,744
6385,0.42,3,5,5,63.4,56.0,926
6386,0.41,3,6,5,63.1,57.0,904
6387,1.43,3,7,5,63.5,56.0,9450
6388,1.03,4,3,5,61.1,59.0,4603
6389,0.41,5,6,8,61.4,53.9,1186
6390,0.3,4,7,5,62.6,59.0,552
6391,2.28,5,1,5,61.6,57.0,12755
6392,0.41,4,7,8,62.5,58.0,1356
6393,0.29,2,6,8,62.7,62.0,617
6394,0.3,5,7,7,60.8,56.0,885
6395,0.77,5,7,4,62.1,56.0,2896
6396,0.33,5,5,7,61.2,57.0,738
6397,0.32,5,7,9,61.7,55.0,1067
6398,1.01,3,6,4,63.3,57.0,4270
6399,0.72,5,6,4,62.5,55.0,2530
6400,0.59,3,6,8,61.7,59.0,2494
6401,0.29,3,3,7,62.2,56.0,444
6402,0.31,3,6,5,63.1,57.0,698
6403,1.06,5,2,5,61.2,56.0,4749
6404,1.0,4,4,6,60.1,57.0,6272
6405,0.55,4,4,6,59.6,59.0,1448
6406,1.36,3,4,8,60.8,60.0,11774
6407,0.52,5,6,7,62.5,56.0,1793
6408,0.71,5,4,5,61.3,55.0,3007
6409,0.24,5,5,8,61.7,55.0,678
6410,0.7,4,3,8,59.6,59.0,2717
6411,0.41,2,6,5,63.2,58.0,705
6412,0.24,5,2,8,61.5,56.0,523
6413,0.63,5,6,9,61.1,58.0,3181
6414,0.72,5,5,7,62.5,54.0,3330
6415,1.0,4,7,5,62.5,59.0,5775
6416,1.0,4,2,5,58.5,59.0,3808
6417,2.21,4,3,3,62.2,58.0,6535
6418,0.33,5,4,9,62.0,55.0,838
6419,1.02,5,2,3,61.7,56.0,2925
6420,1.0,3,2,5,60.4,63.0,4032
6421,0.32,4,3,6,59.5,58.0,505
6422,0.33,5,5,8,61.4,56.0,1040
6423,0.31,5,6,6,61.5,56.0,872
6424,0.23,3,6,8,63.0,58.0,498
6425,1.01,3,5,4,63.4,56.0,4355
6426,0.54,5,5,9,61.6,55.0,2951
6427,2.01,2,2,5,58.8,60.0,16731
6428,1.55,4,3,6,62.7,57.0,10827
6429,1.03,4,3,5,60.7,60.0,4384
6430,1.2,5,3,5,62.7,55.0,6512
6431,0.38,5,6,7,62.2,55.0,866
6432,0.64,1,2,6,55.3,69.0,1411
6433,1.15,4,3,5,62.0,58.0,5506
6434,0.38,2,7,7,63.4,55.0,853
6435,0.4,5,6,6,60.9,56.0,904
6436,0.36,5,3,9,62.0,54.0,783
6437,0.54,3,5,5,63.0,60.0,1356
6438,0.56,3,6,7,61.9,57.0,2037
6439,0.9,2,6,5,60.8,65.0,3933
6440,0.9,3,4,4,63.2,58.0,3787
6441,1.5,4,4,7,61.2,59.0,14105
6442,0.73,3,7,5,63.1,57.0,2808
